subject,relation,object,topic,old_index
I,purchased,it said,0,4397
I,purchased,because it said,0,4398
dogs,said,I,0,4399
dogs,said,extra,0,4400
dogs,said,large,0,4401
pet bed,was for,my cat bootsie,0,4402
she,slept once in,it,0,4403
she,slept in,it,0,4404
he,loves,it,0,4405
my cat jasper,took over,it,0,4406
Dogs,like,them,0,4407
Dogs,is at,difference,0,4408
I,got for,my Aquaclear 30,0,4409
plastic,were,scoopers,0,4410
cup,is,little,0,4411
folds,slipped,flat,0,4412
folds,slipped,handbag,0,4413
priced right,cleans in,dishwasher color,0,4414
strong right,cleans in,dishwasher color,0,4415
stick,stays,puppy,0,4416
Colorful stick,stays,puppy,0,4417
strong priced right,cleans in,dishwasher color,0,4418
right,cleans in,dishwasher color,0,4419
strong priced right,cleans in,yard,0,4420
right,cleans in,yard,0,4421
strong right,cleans in,yard,0,4422
priced right,cleans in,yard,0,4423
stick,is,Colorful,0,4424
I,give,version of this,0,4425
I,give version for,canines to my dog,0,4426
I,give,same version of this,0,4427
I,give version for,canines,0,4428
I,give,version,0,4429
I,give,same version,0,4430
version,is,same,0,4431
I,give,same,0,4432
I,give,version,0,4433
I,give,canines,0,4434
Serena Charters,is,artist,1,4435
she,sees in,her dreams,1,4436
Serena Charters,is,talented artist,1,4437
Charters,is,talented,1,4438
I,approaches,quality of IN DRY SEASON,1,4439
Robinson,wrote at_time,few years,1,4440
quality,is IN,of DRY SEASON,1,4441
Robinson,wrote back at_time,years,1,4442
Robinson,wrote back at_time,few years,1,4443
I,approaches,quality,1,4444
Robinson,wrote at_time,years,1,4445
I,approaches,quality of IN SEASON,1,4446
mystery,is,best,1,4447
He,freaked OUT about,toy,0,4448
He,freaked,toy,0,4449
My aunt,gave,me,1,4451
I,love,it,1,4452
My aunt,gave,book,1,4453
I,was,child,1,4454
I,was,when child,1,4455
dog,are,great,0,4456
Sweeet,makes,my water changes quicker,0,4457
Sweeet,makes,my water changes much quicker,0,4458
water,makes,changes,0,4459
I,got,condo,0,4460
I,got,little condo,0,4461
condo,is,little,0,4462
kitten,was,big,0,4463
kitten,was,boys,0,4464
I,have,35 40 pound hound puppy,0,4465
shower,is with,gifts,1,4466
we,use in,English language,1,4467
Bedelia,makes,mess of situations,1,4468
Bedelia,makes,mess of simple situations,1,4469
connections,is with,common expressions,1,4470
you,give,surprise shower,1,4471
Bedelia,makes,mess,1,4472
someone,asked,you,1,4473
We,have,three dogs ranging from about 55 pounds,0,4474
We,have,three dogs,0,4475
We,have,three big dogs ranging from about 55 pounds,0,4476
We,have,three big dogs ranging,0,4477
We,have,three big dogs,0,4478
We,have,three dogs ranging,0,4479
dogs,is,big,0,4480
book,is at,way,1,4481
way,introduce,children,1,4482
it,find in,my area,0,4483
My dogs,like,Rachael Ray line of Nutrish dog food,0,4484
it,is,difficult,0,4485
it,find in,my local area,0,4486
My dogs,like,Rachael Ray line,0,4487
it,is,exteremely difficult,0,4488
food,is,difficult,0,4489
food,is,local,0,4490
mega-bucks Racael Ray,put out,better dog food,0,4491
mega-bucks Racael Ray,put out,dog food,0,4492
I,was,mega-bucks,0,4493
I,was,better,0,4494
I,was,dog,0,4495
product,is,good,0,4496
being,is,human,1,4497
being,let,imagination,1,4498
being,let,places,1,4499
I,read,classic book,1,4500
I,was thrilled,time,1,4501
I,read,book,1,4502
I,read book to,my son,1,4503
I,was thrilled,first time,1,4504
things,is,great,1,4505
My Cavalier King Charles Spaniel,loves,his Orka Flyer,0,4506
he,'s had toy for,almost a year,0,4507
He,loves,to chew,0,4508
he,'s had,toy,0,4509
he,'s had toy for,a year,0,4510
yet,chew,He,0,4511
yet,chew,toy,0,4512
book,is,great,1,4513
adults,has,book,1,4514
adults,is at,book,1,4515
adults,read,outloud,1,4516
I,am,pleased,0,4517
I,am,overall pleased,0,4518
I,read,other reviews,0,4519
I,read,reviews,0,4520
I,am,glad,0,4521
size,read,I,0,4522
size,read,glad,0,4523
size,read,reviews,0,4524
size,read,other,0,4525
size,read,wrong,0,4526
The thought,was,good,0,4527
I,have,11 pound Couton De Tulear,0,4528
Couton,is,4,0,4529
I,have,pound,0,4530
it,freshen,her breath,0,4531
dog,loved,bones,0,4532
I,returned,product,0,4533
I,returned for,diffuser,0,4534
I,returned product for,diffuser,0,4535
I,returned,product,0,4536
our little kitty,needed area while,healing,0,4537
our little kitty,broke,her hind leg,0,4538
our kitty,needed area while,healing,0,4539
our kitty,broke,her hind leg,0,4540
kitty,is,little,0,4541
kitty,broke,hind,0,4542
Color Collector 's EditionMy husband,finished in,Little House,1,4543
Color Collector 's EditionMy husband,finished in,Big Woods,1,4544
Full Color Collector 's EditionMy husband,finished in,Little House,1,4545
Full Color Collector,has,EditionMy husband,1,4546
Full Color Collector 's EditionMy husband,finished in,Big Woods,1,4547
review,is from,Little House,1,4548
she,liked,it,1,4549
husband,finished,great,1,4550
idea,is,good,0,4551
size large,turned out,too big on my husky german shepherd mix,0,4552
size large,turned out,to big on my german shepherd mix,0,4553
size large,turned out,too big on my shepherd mix,0,4554
size,turned out,big on my husky german shepherd mix,0,4555
size large,turned out,to big on my husky german shepherd mix,0,4556
size,turned out,too big on my german shepherd mix,0,4557
size,turned out,to big on my husky german shepherd mix,0,4558
size,turned out,too big on my husky german shepherd mix,0,4559
size large,turned out,too big,0,4560
size,turned out,to too big on my shepherd mix,0,4561
size large,turned out,to too big,0,4562
size,turned out,to too big on my husky german shepherd mix,0,4563
size large,turned out,to big,0,4564
size large,turned out,to too big on my shepherd mix,0,4565
size,turned out,too big on my shepherd mix,0,4566
size large,turned out,big on my husky german shepherd mix,0,4567
size large,turned out,to big on my shepherd mix,0,4568
size large,turned out,big on my shepherd mix,0,4569
size,turned out,to big,0,4570
size,turned out,to too big on my german shepherd mix,0,4571
size,turned out,to too big,0,4572
size,turned out,big on my german shepherd mix,0,4573
size large,turned out,big on my german shepherd mix,0,4574
size large,turned out,to too big on my german shepherd mix,0,4575
size,turned out,big,0,4576
size large,turned out,big,0,4577
size,turned out,to big on my german shepherd mix,0,4578
size large,turned out,too big on my german shepherd mix,0,4579
size large,turned out,to too big on my husky german shepherd mix,0,4580
size,turned out,big on my shepherd mix,0,4581
size,turned out,to big on my shepherd mix,0,4582
size,turned out,too big,0,4583
toy,is,ok,0,4584
hair,licks,stray,0,4586
hair,licks,hairs,0,4587
my cat,likes daily,it,0,4588
it says,likes daily,it,0,4589
my cat,likes,it,0,4590
it says,likes,it,0,4591
product,says,cat,0,4592
They,like best,it,0,4593
They,like,it,0,4594
They,like,best,0,4595
They,like,spray,0,4596
They,like,catnip,0,4597
I,have brought for,my monsters,0,4598
I,have brought for,my little monsters,0,4599
Narnia Chronicles,is one of,greatest of time,1,4600
Narnia Chronicles,is one,greatest of time,1,4601
Chronicles,escapes,greatest,1,4602
Chronicles,escapes,time,1,4603
cat,has,sores,0,4604
cat,are,sores,0,4605
rating,is,good,0,4606
I,had,good,0,4607
I,had,rating,0,4608
man,is,little,1,4610
I,purchased,Green Killing Machine 3 watt uv sterilizer,0,4611
I,bought book,for my grandson help,1,4612
I,bought,book,1,4613
I,bought book,for my grandson to help,1,4614
him,understand nutcracker story,going,1,4615
him,understand nutcracker story,before going,1,4616
I,bought book,my grandson help,1,4617
him,understand,nutcracker story,1,4618
I,bought book,my grandson to help,1,4619
I,bought,bag,0,4620
I,bought bag for,my 5 lb,0,4621
I,bought,bag,0,4622
I,have,female Shih Tzu,0,4623
I,have,Shih Tzu,0,4624
Shih,is,female,0,4625
Tzu,had,chronic,0,4626
Tzu,had,ear,0,4627
It,help,2 my 3 dogs,0,4628
It,help,2 of my 3 dogs,0,4629
dogs,help,It,0,4630
dish,are,perfect,0,4631
them,handle like,not lightweight ones in stores,0,4632
small doggy dish,are,perfect,0,4633
small dish,are,perfect,0,4634
doggy dish,are,perfect,0,4635
rats,are,outside,0,4636
one,leave,negative,0,4637
one,leave,reviews,0,4638
My son,loves,it,1,4639
My wife,bought,each of our 6 Grandchildren copy,1,4640
My wife,bought,each our 6 Grandchildren copy,1,4641
they,were,born,1,4642
they,were,when born,1,4643
My wife,bought,each of 6 Grandchildren copy,1,4644
My wife,bought,each 6 Grandchildren copy,1,4645
Anyone,can easily identify with,book,1,4646
words,convey,magic,1,4647
Anyone,can identify with,book,1,4648
toy,is very dangerous for,kittens,0,4649
toy,is,very dangerous,0,4650
toy,is,dangerous,0,4651
toy,is dangerous for,kittens,0,4652
toy,is,dangerous,0,4653
toy,is,kittens,0,4654
Snogging,was,riot,1,4655
Snogging,was,Side,1,4656
I,bought toy as,alternative to ball,0,4657
I,bought,toy,0,4658
I,bought toy as,alternative,0,4659
I,love,it,1,4660
you,have use,your imagination,1,4661
E,have,I,1,4662
E,have,imagination,1,4663
I,train,my dog,0,4665
my dog,needed,lead,0,4666
my dog,needed,longer lead,0,4667
dog,is at,lead,0,4668
I,am,dog,0,4669
I,am,longer,0,4670
I,am,lead,0,4671
I,am,ideal,0,4672
I,am,procedures,0,4673
book,is at,movie,1,4674
Duke,loves,it,1,4675
great,encourage,foraging,1,4676
It,works,great,1,4677
foraging,encourage,It,1,4678
foraging,encourage,great,1,4679
love,is at,idea,0,4680
Young students,ask,me,1,4681
I,was,child,1,4682
students,ask,me,1,4683
I,was,when child,1,4684
students,is,Young,1,4685
book,was,child,1,4686
I,love,item,0,4687
I,love,item,0,4688
My cats,LOVE,fountain,0,4690
My 2 cats,LOVE,fountain,0,4691
cats,LOVE,fountain,0,4692
I,have,cat,0,4693
I,have,older cat,0,4694
cat,is,older,0,4695
cat,needs,water,0,4696
our guinea pigs,give,more room than cage,0,4697
our two guinea pigs,give,room than cage,0,4698
our two guinea pigs,give,more room than cage,0,4699
our guinea pigs,give,room than cage,0,4700
pigs,give,more,0,4701
My amazon swords,are growing,fine,0,4702
My amazon swords,are growing,just fine,0,4703
amazon,are,swords,0,4704
amazon,are,fine,0,4705
root,is,Best,0,4706
root,'ve,tabs,0,4707
my bird,loves too,it,0,4708
my bird,loves,it,0,4709
teeth,remove,I,0,4710
teeth,remove,tartar,0,4711
i,give,try over oxbow,0,4712
I,'ve tried vs,quality,0,4713
I,'ve tried kinds vs,quality,0,4714
i,give,try,0,4715
dust,has,kinds,0,4716
dust,is at,kinds,0,4717
I,'ve,few,0,4718
I,'ve,kinds,0,4719
I,'ve,different,0,4720
I,'ve,dust,0,4721
I,'ve,price,0,4722
I,bought for,Cavalier,0,4723
I,bought for,Cavalier with awful teeth,0,4724
I,bought for,Cavalier with teeth,0,4725
Cavalier,is with,awful teeth,0,4726
I,bought,awful,0,4727
I,bought,teeth,0,4728
needed,have,1/3 her teeth,0,4729
I,was told,she,0,4730
needed,have,1/3 of her teeth,0,4731
I,was told,needed,0,4732
I,was,teeth,0,4733
rawhides,chews,I,0,4734
product,is,Great,0,4735
product,help,pets,0,4736
product,help,teeth,0,4737
product,help,dental,0,4738
product,help,procedure,0,4739
good,are,real,0,4740
My dogs,love,items,0,4741
dogs,love,items,0,4742
schizophrenic twin,is in,crisis,1,4743
career,is in,limbo,1,4744
Dominick,has,story,1,4745
Dominick,is at,story,1,4746
it,comes to,treats,0,4747
she,has,picky,0,4748
she,has,very picky,0,4749
yorkie,'s,picky,0,4750
yorkie,'s,treats,0,4751
we,have,200 pounds between 3 hound dogs,0,4753
we,have,200 pounds,0,4754
cats,is,young,0,4755
Dachshund,is,puppy,0,4757
Dachshund,is,interested,0,4758
Dachshund,is,toy,0,4759
toy,was much stronger than,most of dog toys out there,0,4760
toy,was much stronger than,most out there,0,4761
toy,was much stronger than,most there,0,4762
toy,was much stronger than,most of dog toys,0,4763
toy,was stronger than,most of dog toys out there,0,4764
toy,was much stronger than,most of dog toys there,0,4765
toy,was much stronger than,most,0,4766
toy,was,stronger,0,4767
toy,was stronger than,most out there,0,4768
toy,was stronger than,most of other dog toys,0,4769
toy,was much stronger than,most of other dog toys,0,4770
toy,was much stronger than,most of other dog toys there,0,4771
toy,was stronger than,most of other dog toys out there,0,4772
toy,was stronger than,most of dog toys there,0,4773
toy,was,much stronger,0,4774
toy,was much stronger than,most of other dog toys out there,0,4775
toy,was stronger than,most,0,4776
toy,was stronger than,most of dog toys,0,4777
toy,was stronger than,most of other dog toys there,0,4778
toy,was stronger than,most there,0,4779
dimensions,are roughly size as,kitchen rug mat,0,4780
dimensions,are,same size,0,4781
dimensions,are size as,kitchen rug mat,0,4782
dimensions,are,roughly size,0,4783
dimensions,are same size as,kitchen rug mat,0,4784
dimensions,are,roughly same size,0,4785
dimensions,are same size as,average kitchen rug mat,0,4786
dimensions,are roughly same size as,average kitchen rug mat,0,4787
dimensions,are roughly same size as,kitchen rug mat,0,4788
dimensions,are,size,0,4789
dimensions,are size as,average kitchen rug mat,0,4790
dimensions,are roughly size as,average kitchen rug mat,0,4791
It,has,off leash time after 9 pm,0,4792
off leash time,is in,local parks,0,4793
It,has,off leash time in local parks after 9 pm,0,4794
It,has,off leash time,0,4795
It,has,off leash time in local parks,0,4796
It,has,off leash time in parks after 9 pm,0,4797
It,has,off leash time in parks,0,4798
My dogs,are,dachshund lab,0,4799
My dogs,are,dachshund black lab,0,4800
mix,seem,enthusiastic,0,4801
mix,seem,brand,0,4802
everything,keep crows out,suet,0,4803
everything,keep,crows,0,4804
everything else,keep,crows,0,4805
I,tried,everything else,0,4806
I,tried,everything,0,4807
everything else,keep crows out,suet,0,4808
everything,is at,crows,0,4809
months,is,Kittens,0,4810
months,is,something,0,4811
months,is,more,0,4812
it,has,very cute,0,4813
We,bought toy,because very cute,0,4814
We,bought,toy,0,4815
We,bought toy,cute,0,4816
it,has,because very cute,0,4817
We,bought toy,very cute,0,4818
it,has,because cute,0,4819
We,bought toy,because cute,0,4820
it,has,cute,0,4821
toy,'s,cute,0,4822
toy,'s,terrier,0,4823
time,is,first,1,4824
time,read,something,1,4825
My female Ragdoll,has,hot spot on her neck,0,4826
My Ragdoll,has,hot spot on her neck,0,4827
My Ragdoll,has,hot spot,0,4828
My female Ragdoll,has,hot spot,0,4829
My female Ragdoll,has,spot on her neck,0,4830
My Ragdoll,has,spot on her neck,0,4831
My female Ragdoll,has,spot,0,4832
My Ragdoll,has,spot,0,4833
Ragdoll,is,female,0,4834
Ragdoll,is at,spot,0,4835
spot,has,neck,0,4836
pup,has,bedding,0,4837
she,'d still pee on,it,0,4838
she,'d pee on,it,0,4839
times,is,many,0,4840
it,has,plastic sign,0,4842
it,has,instead plastic sign,0,4843
it,has,plastic sign saying,0,4844
it,has,instead plastic sign saying,0,4845
bell,'s,plastic,0,4846
collars,ordered,cat,0,4847
I,need,brush appropriate for that,0,4848
I,need,brush,0,4849
I,need,brush appropriate,0,4850
brush,is,luxurious,0,4851
I,gave,my dogs,0,4852
I,gave,these with their food for little,0,4853
I,gave,these for little,0,4854
I,gave,these with their food,0,4855
I,leave on,my bicycle,0,4856
I,have,basset hound,0,4857
hound,cries,crazy,0,4858
you,can tell from,my title,0,4859
you,tell,title,0,4860
I,have spoiled,my cats on huge old 7/11 cups,0,4861
I,have,3,0,4862
I,have spoiled,my cats on huge 7/11 insulated cups,0,4863
I,refill daily with,ice,0,4864
I,have spoiled,my cats on old 7/11 insulated cups,0,4865
I,have spoiled,my cats on huge 7/11 cups,0,4866
I,have spoiled,my cats,0,4867
I,have spoiled,my cats on 7/11 insulated cups,0,4868
I,have spoiled,my cats on old 7/11 cups,0,4869
I,refill with,ice,0,4870
I,have spoiled,my cats on 7/11 cups,0,4871
it,2x at_time,day,0,4872
it,make,sucking noises,0,4873
Base,cause,pump,0,4874
it,make,noises,0,4875
story,is,charming,1,4876
I,buy,cage,0,4877
water,is,great,0,4878
water,is at,bottle,0,4879
pig,be,I,0,4880
pig,be,great,0,4881
pig,be,water,0,4882
pig,be,bottle,0,4883
its legislation,could,could have tantalizing backstage,1,4884
its legislation,could,could have tantalizing,1,4885
Gambling,could,could have tantalizing backstage,1,4886
legislation,is in,1800s,1,4887
1800s,is in,London,1,4888
Gambling,could,could have tantalizing,1,4889
Gambling,is at,legislation,1,4890
I,loved,book,1,4891
I,loved,book,1,4892
Our Golden Retriever,scarfs down,product,0,4893
you,are buying,dog food,0,4894
you,are buying,random dog food,0,4895
dog,is,random,0,4896
My dog,loves,food,0,4897
dog,loves,food,0,4898
tale,begins beautifully with,time I saw,1,4899
tale,begins beautifully with,first time I saw,1,4900
my mother,was,night,1,4901
tale,begins with,first time I saw,1,4902
tale,begins with,time I saw,1,4903
Avery,has,tale,1,4904
Avery,is at,tale,1,4905
final entry,is in,Jani Kilian saga,1,4906
End Game,is,best yet,1,4907
End Game,is,best,1,4908
My dogs,love,Beneful,0,4909
It,is,hard,0,4910
It,rate,dog food,0,4911
It,is,really hard,0,4912
dog,is at,food,0,4913
it,rate,It,0,4914
it,rate,hard,0,4915
it,rate,dog,0,4916
it,rate,food,0,4917
cat,is,good,0,4918
cat,is,food,0,4919
romance writing,focuses on,alpha male,1,4920
romance,focuses,writing,1,4921
Our barn cats,love,it,0,4922
barn,love,cats,0,4923
I,have,have super careful,0,4924
I,have,have careful,0,4925
I,have,six cats,0,4926
anything,is going,bit messy,0,4927
dying anything,is going,bit messy,0,4928
dying anything,is in,colors,0,4929
anything,is going,to bit messy,0,4930
dying anything,is going,to bit messy,0,4931
It,is,good,0,4933
idea,is,good,0,4934
I,bought as,Christmas present for my 6 year old Cavalier King Charles Spaniel,0,4936
I,bought as,Christmas present,0,4937
I,bought as,Christmas present for my Cavalier King Charles Spaniel,0,4938
I,bought,present,0,4939
I,bought,old,0,4940
I,bought,year,0,4941
you,enjoyed,mysteries,1,4942
rollercoaster ride,is with,Lee,1,4943
rollercoaster,Talk,ride,1,4944
you,think,relationship,1,4945
I,loved,book,1,4946
read,say,least,1,4947
characters,were,REAL,1,4948
characters,felt,REAL,1,4949
characters,felt,EVERYTHING,1,4950
Kim McLarin,is,wonderful writer,1,4951
Kim McLarin,is,writer,1,4952
me,read TWICE,book,1,4953
me,read,book,1,4954
dogs,gets,bored,0,4955
dogs,gets,toys,0,4956
dogs,gets,new,0,4957
dogs,gets,minutes,0,4958
dogs,gets,few,0,4959
she,does love,taste,0,4960
friend,was,frightened,0,4961
friend,was,rescue,0,4962
friend,was,dog,0,4963
cute giraffe,has held up with,my foster Aussie terrier,0,4964
cute giraffe,has held up pretty well with,my 10 month old foster Aussie terrier,0,4965
giraffe,has held up pretty well with,my 10 month old foster Aussie terrier,0,4966
cute little giraffe,has held up with,my foster Aussie terrier,0,4967
giraffe,has held up pretty well with,my foster Aussie terrier,0,4968
little giraffe,has held up with,my 10 month old foster Aussie terrier,0,4969
giraffe,has held up with,my foster Aussie terrier,0,4970
cute giraffe,has held up well with,my foster Aussie terrier,0,4971
cute little giraffe,has held up with,my 10 month old foster Aussie terrier,0,4972
little giraffe,has held up well with,my 10 month old foster Aussie terrier,0,4973
giraffe,has held up well with,my 10 month old foster Aussie terrier,0,4974
little giraffe,has held up well with,my foster Aussie terrier,0,4975
giraffe,has held up well with,my foster Aussie terrier,0,4976
giraffe,has held up with,my 10 month old foster Aussie terrier,0,4977
cute little giraffe,has held up pretty well with,my foster Aussie terrier,0,4978
cute little giraffe,has held up pretty well with,my 10 month old foster Aussie terrier,0,4979
cute little giraffe,has held up well with,my 10 month old foster Aussie terrier,0,4980
little giraffe,has held up pretty well with,my 10 month old foster Aussie terrier,0,4981
little giraffe,has held up with,my foster Aussie terrier,0,4982
cute little giraffe,has held up well with,my foster Aussie terrier,0,4983
cute giraffe,has held up with,my 10 month old foster Aussie terrier,0,4984
little giraffe,has held up pretty well with,my foster Aussie terrier,0,4985
cute giraffe,has held up well with,my 10 month old foster Aussie terrier,0,4986
cute giraffe,has held up pretty well with,my foster Aussie terrier,0,4987
death,Cause,lobotomy,0,4988
My cat lovesPet Greens,Treats,3oz,0,4989
Salmon w Wheat Grass Cat,Treats,3oz,0,4990
Savory Salmon w Wheat Grass Cat,Treats,3oz,0,4991
cat,Treats,lovesPet,0,4992
cat,Treats,Savory,0,4993
cat,Treats,Greens,0,4994
I,have owned,three cats,0,4996
I,have owned,three different cats,0,4997
they,have loved,it,0,4998
cats,is,different,0,4999
I,have,different,0,5000
I,have,cats,0,5001
I,have,food,0,5002
my cats,were cooped up for,days below zero cold,0,5003
I,borrowed from,friend,0,5004
my cats,were cooped up inside for,days below zero cold,0,5005
my cats,were cooped up for,days,0,5006
my cats,were cooped up inside for,days,0,5007
We,have,DART,0,5008
breaking,have,We,0,5009
My kitten,liked,toy,0,5010
kitten,liked,toy,0,5011
second,get,automatic setting,0,5012
second,get,setting,0,5013
It,took,second,0,5014
),get,It,0,5015
),get,second,0,5016
),get,setting,0,5017
),get,automatic,0,5018
),get,tap,0,5019
toy,is,AMAZING,0,5020
toy,is,AMAZING,0,5021
I,think,it,0,5022
toy,is,I,0,5023
toy,is,fun,0,5024
toy,is,good,0,5025
My dog,LOVES,it,0,5026
our dogs,love,bed,0,5027
dogs,love,bed,0,5028
book,is,great,1,5029
Mr,is,3,1,5030
present,Bought,spoiled,0,5031
present,Bought,Cockatoo,0,5032
my husband,picked up,used paperback,1,5033
my husband,picked up somewhere,used paperback,1,5034
my husband,picked up somewhere,paperback,1,5035
my husband,read,William Lashner novel,1,5036
my husband,picked up,paperback,1,5037
books,were,other,1,5038
books,were,author,1,5039
tribute,is,fine,1,5040
tribute,be,showcase,1,5041
tribute,be,memorial,1,5042
mattress,fits,extra large crate,0,5043
mattress,fits,crate,0,5044
mattress,fits,extra crate,0,5045
mattress,fits,large crate,0,5046
mattress,fits,extra,0,5047
mattress,fits,crate,0,5048
mattress,fits,large,0,5049
I,loved,#,1,5050
I,loved,more,1,5051
I,loved,works,1,5052
Lucy,eats,she,0,5053
My wiennie dogs,love,it,0,5054
one,is,pup,0,5055
My two wiennie dogs,love,it,0,5056
one,is,old,0,5057
dogs,is,old,0,5058
dogs,is,pup,0,5059
size,is,nice,0,5060
container,open,easy,0,5061
container,open,close,0,5062
my shih tzu,eats,gnaws,0,5063
they,are,until nubs,0,5064
they,are,nubs,0,5065
my shih tzu,eats,gnaws on these,0,5066
my shih tzu,eats gnaws,until nubs,0,5067
my shih tzu,eats gnaws,nubs,0,5068
tzu,is,1,0,5069
gnaws,are,nubs,0,5070
they,smell too,good,0,5071
they,smell,good,0,5072
they,smell,good,0,5073
I,'ve ever purchased at_time,best chew,0,5074
I,'ve purchased at_time,best chew,0,5075
I,'ve purchased at_time,chew,0,5076
I,'ve ever purchased at_time,chew,0,5077
chew,is,best,0,5078
we,have,kitty,0,5079
outside,have,We,0,5080
outside,have,kitty,0,5081
Life,has changed because,product,0,5082
Life,has changed in,our household,0,5083
Life,has,household,0,5084
Amazon,has,order,0,5085
order,is at,Amazon,0,5086
I,am pleased with,product,0,5087
I,am,pleased,0,5088
I,am,very pleased,0,5089
I,am very pleased with,product,0,5090
dogs,am,pleased,0,5091
dogs,am,product,0,5092
science,is,great,1,5093
My dogs,rip apart,tennis balls,0,5094
My dogs,rip,tennis balls,0,5095
tennis balls,eat,them,0,5096
dogs,rip,tennis,0,5097
I,found,book,1,5098
book,be,interesting,1,5099
I,purchased,two these,0,5102
I,purchased,two of these,0,5103
I,purchased,gallon,0,5104
balls,hold up well to,our chewer shredder dog,0,5105
balls,hold up very well to,our chewer shredder dog,0,5106
balls,hold up to,our chewer shredder dog,0,5107
balls,hold,chewer,0,5108
my dogs,are,because really obsessive about orange chuckit balls,0,5109
my dogs,are,because obsessive,0,5110
my dogs,are obsessive about,orange chuckit balls,0,5111
my dogs,are,really obsessive,0,5112
my dogs,are,because obsessive about orange balls,0,5113
my dogs,are,because really obsessive about orange balls,0,5114
my dogs,are,obsessive,0,5115
my dogs,are really obsessive about,orange balls,0,5116
my dogs,are,because obsessive about chuckit balls,0,5117
my dogs,are really obsessive about,orange chuckit balls,0,5118
my dogs,are,because obsessive about balls,0,5119
my dogs,are really obsessive about,balls,0,5120
my dogs,are,because really obsessive about balls,0,5121
my dogs,are obsessive about,chuckit balls,0,5122
my dogs,are really obsessive about,chuckit balls,0,5123
my dogs,are,because really obsessive,0,5124
my dogs,are obsessive about,balls,0,5125
my dogs,are,because really obsessive about chuckit balls,0,5126
my dogs,are obsessive about,orange balls,0,5127
my dogs,are,because obsessive about orange chuckit balls,0,5128
dog,is,durable,0,5129
trees,is,poor,1,5131
I,help,poor,1,5132
I,help,trees,1,5133
I,help,book,1,5134
I,'ve read in,years,1,5135
book,'ve,years,1,5136
I,loved,essay,1,5137
book,is,fantastic,1,5138
book,loved,essay,1,5139
I,have,one these,0,5140
I,have,one of these,0,5141
dog,is,big,0,5142
I,have,big,0,5143
I,have,dog,0,5144
I,have,little,0,5145
I,purchased,gate,0,5146
gate,set up,pen area,0,5147
gate,set up,new pen area,0,5148
gate,set up pen area for,my pet rabbits,0,5149
gate,set,new,0,5150
gate,set,pen,0,5151
Our puppy,loves,treats,0,5153
puppy,loves,treats,0,5154
We,break,them,0,5155
We,break,half,0,5156
We,break,hue,0,5157
We,break,grey,0,5158
We,break,last,0,5159
story,is,good,1,5160
story,is,really good,1,5161
story,is,good,1,5162
quality,is,good,0,5163
quality,is,awesomely good,0,5164
quality,is in,Whiskas pouches,0,5165
cat,has,quality,0,5166
cat,is at,quality,0,5167
quality,is,cat,0,5168
quality,is,good,0,5169
quality,is,food,0,5170
My puppy,loves,food,0,5171
puppy,loves,food,0,5172
She,is,morkie,0,5173
she,was,it,0,5174
she,was,it up,0,5175
She,is,old,0,5176
She,is,12 week old morkie,0,5177
Peanut,tell,you,0,5178
his dog food,is,really good,0,5179
his dog food,is,really good,0,5180
his dog food,is,good,0,5181
his dog food,is,really really good,0,5182
!!,tell,Peanut,0,5183
!!,tell,dog,0,5184
!!,tell,good,0,5185
!!,tell,food,0,5186
He,likes,combination,0,5187
He,likes,combination of beef,0,5188
beef,has,combination,0,5189
beef,is at,combination,0,5190
He,likes,combination,0,5191
struggle,is with,reading,1,5192
he,was beginning to,struggle with reading,1,5193
My son,read in,2nd grade,1,5194
he,was beginning to,struggle,1,5195
My son,read in,grade,1,5196
grade,was,struggle,1,5197
i,will buy,more,0,5198
i,need,it,0,5199
it,need,i,0,5200
it,need,more,0,5201
You,can rarely go wrong with,Teresa Medeiros,1,5202
You,can go with,Teresa Medeiros,1,5203
You,can go wrong with,Teresa Medeiros,1,5204
You,can rarely go with,Teresa Medeiros,1,5205
You,go,wrong,1,5206
cat,is,early,0,5207
cat,is,stage,0,5208
cat,is,kidney,0,5209
they,are healthy for,them,0,5210
they,are,healthy,0,5211
My cats,love,treats,0,5212
treats,know,healthy,0,5213
many kinds,choose from,now,0,5214
kinds,choose from,now,0,5215
kinds,is,many,0,5216
my cats,eat,garbage,0,5217
my cats,been,known,0,5218
preface,is at,review,0,5219
I,thought with,big chunks of real fish,0,5220
I,thought with,chunks of fish,0,5221
I,thought with,big chunks,0,5222
I,thought with,chunks,0,5223
I,thought with,chunks of real fish,0,5224
I,thought with,big chunks of fish,0,5225
fish,looked,I,0,5226
fish,looked,ok,0,5227
fish,looked,chunks,0,5228
fish,looked,big,0,5229
fish,looked,real,0,5230
you,does,its job,0,5231
you,can say about,catbox other than its sturdy,0,5232
cat,does,its job,0,5233
you,can say about,catbox other,0,5234
you,can say about,catbox,0,5235
catbox,does,other,0,5236
catbox,does,sturdy,0,5237
catbox,does,job,0,5238
catbox,does,cat,0,5239
My cat,begs for,food,0,5240
My cat,begs for,thsi food,0,5241
cat,begs,thsi,0,5242
cat,begs,food,0,5243
We,give,him,0,5244
We,give,quater,0,5245
you,will need,If you are looking for answer to title question,1,5246
you,are looking for,answer to title question,1,5247
you,are looking directly for,answer to title question,1,5248
you,skip,for basically decent narrative,1,5249
you,skip to,conclusion at end,1,5250
